spec	Fold_0
nist_1133686	test
nist_1133711	test
nist_1133738	test
nist_1133750	train
nist_1133766	train
nist_1133777	test
nist_1133814	test
nist_1133834	test
nist_1133851	train
nist_1133874	train
nist_1133895	train
nist_1133911	train
nist_1133935	train
nist_1133959	train
nist_1133969	train
nist_1133988	train
nist_1134011	test
nist_1134026	test
nist_1134039	train
nist_1134059	train
nist_1134075	train
nist_1134095	val
nist_1134121	train
nist_1134135	train
nist_1134160	train
nist_1134179	train
nist_1134199	train
nist_1134247	train
nist_1134267	train
nist_1134281	train
nist_1134298	train
nist_1134323	train
nist_1134338	train
nist_1134353	train
nist_1134376	train
nist_1134400	test
nist_1134422	test
nist_1134442	test
nist_1134459	train
nist_1134475	train
nist_1134486	train
nist_1134500	train
nist_1134516	train
nist_1134536	train
nist_1134560	test
nist_1134581	test
nist_1134595	test
nist_1134609	train
nist_1134631	train
nist_1134652	train
nist_1134660	train
nist_1134675	train
nist_1134696	train
nist_1134704	train
nist_1134718	train
nist_1134748	train
nist_1134763	train
nist_1134780	train
nist_1134807	train
nist_1134815	train
nist_1134831	train
nist_1134868	train
nist_1134875	train
nist_1134903	test
nist_1134912	test
nist_1134927	test
nist_1134943	test
nist_1134950	test
nist_1134982	train
nist_1134998	train
nist_1135010	train
nist_1135032	train
nist_1135048	train
nist_1135072	train
nist_1135082	train
nist_1135097	train
nist_1135117	train
nist_1135138	train
nist_1135151	train
nist_1135173	train
nist_1135193	train
nist_1135202	train
nist_1135223	train
nist_1135232	train
nist_1135253	train
nist_1135263	train
nist_1135278	train
nist_1135294	train
nist_1135355	val
nist_1135378	val
nist_1135386	val
nist_1135402	val
nist_1135420	test
nist_1135451	test
nist_1135468	test
nist_1135486	train
nist_1135506	train
nist_1135523	train
nist_1135539	train
nist_1135558	test
nist_1135576	test
nist_1135595	test
nist_1135609	train
nist_1135630	train
nist_1135644	train
nist_1135660	train
nist_1135680	train
nist_1135693	train
nist_1135710	train
nist_1135729	train
nist_1135747	train
nist_1135767	train
nist_1135782	train
nist_1135798	train
nist_1135821	train
nist_1135835	train
nist_1135850	train
nist_1135871	train
nist_1135887	val
nist_1135912	val
nist_1135928	train
nist_1135953	train
nist_1135969	train
nist_1135990	train
nist_1136006	train
nist_1136026	train
nist_1136046	train
nist_1136064	train
nist_1136071	train
nist_1136091	train
nist_1136107	train
nist_1136126	train
nist_1136145	train
nist_1136166	train
nist_1136186	val
nist_1136206	val
nist_1136223	test
nist_1136244	test
nist_1136259	test
nist_1136275	train
nist_1136296	train
nist_1136343	test
nist_1136362	test
nist_1136376	test
nist_1136391	test
nist_1136412	test
nist_1136426	test
nist_1136444	test
nist_1136465	test
nist_1136479	test
nist_1136497	val
nist_1136519	val
nist_1136535	val
nist_1136554	train
nist_1136576	train
nist_1136598	train
nist_1136622	train
nist_1136639	train
nist_1136657	train
nist_1136677	train
nist_1136690	train
nist_1136713	train
nist_1136736	train
nist_1136753	train
nist_1136775	train
nist_1136791	train
nist_1136807	train
nist_1136830	train
nist_1136843	train
nist_1136858	val
nist_1136879	val
nist_1136896	val
nist_1136916	test
nist_1136942	test
nist_1136951	test
nist_1136967	test
nist_1136987	val
nist_1137013	val
nist_1137026	val
nist_1137041	train
nist_1137064	train
nist_1137077	train
nist_1137094	train
nist_1137116	train
nist_1137126	train
nist_1137149	train
nist_1137168	train
nist_1137190	train
nist_1137212	train
nist_1137224	train
nist_1137238	test
nist_1137261	test
nist_1137278	test
nist_1137289	train
nist_1137314	train
nist_1137329	train
nist_1137346	train
nist_1137367	train
nist_1137383	train
nist_1137399	train
nist_1137420	train
nist_1137441	train
nist_1137462	train
nist_1137482	train
nist_1137496	train
nist_1137513	train
nist_1137534	train
nist_1137554	train
nist_1137575	train
nist_1137599	train
nist_1137615	train
nist_1137630	train
nist_1137650	train
nist_1137670	train
nist_1137681	train
nist_1137699	train
nist_1137710	train
nist_1137798	train
nist_1137817	train
nist_1137836	train
nist_1137854	train
nist_1137876	train
nist_1137896	train
nist_1137908	train
nist_1137925	test
nist_1137950	test
nist_1137971	test
nist_1137989	test
nist_1138006	train
nist_1138024	train
nist_1138045	train
nist_1138060	train
nist_1138077	test
nist_1138099	test
nist_1138123	test
nist_1138140	test
nist_1138160	train
nist_1138184	train
nist_1138207	train
nist_1138224	train
nist_1138243	train
nist_1138266	train
nist_1138285	train
nist_1138295	train
nist_1138311	train
nist_1138331	train
nist_1138351	train
nist_1138369	train
nist_1138397	train
nist_1138411	train
nist_1138435	train
nist_1138455	train
nist_1138475	train
nist_1138495	train
nist_1138516	train
nist_1138539	train
nist_1138548	train
nist_1138567	train
nist_1138588	test
nist_1138598	test
nist_1138617	test
nist_1138634	val
nist_1138656	val
nist_1138674	val
nist_1138690	val
nist_1138709	train
nist_1138725	train
nist_1138748	train
nist_1138763	train
nist_1138785	train
nist_1138798	train
nist_1138812	train
nist_1138835	train
nist_1138849	train
nist_1138866	train
nist_1138897	train
nist_1138917	train
nist_1138938	train
nist_1138957	train
nist_1138973	train
nist_1138990	train
nist_1139011	train
nist_1139025	train
nist_1139040	train
nist_1139061	train
nist_1139082	train
nist_1139099	train
nist_1139116	train
nist_1139138	train
nist_1139147	train
nist_1139158	train
nist_1139175	train
nist_1139197	train
nist_1139217	train
nist_1139239	train
nist_1139261	train
nist_1139281	train
nist_1139301	train
nist_1139322	train
nist_1139343	test
nist_1139368	test
nist_1139390	train
nist_1139411	train
nist_1139435	train
nist_1139452	train
nist_1139473	train
nist_1139493	train
nist_1139506	train
nist_1139528	train
nist_1139550	train
nist_1139567	train
nist_1139584	train
nist_1139602	train
nist_1139623	train
nist_1139637	train
nist_1139654	train
nist_1139676	train
nist_1139697	train
nist_1139719	train
nist_1139730	train
nist_1139750	train
nist_1139775	train
nist_1139793	train
nist_1139811	train
nist_1139832	train
nist_1139841	train
nist_1139856	train
nist_1139875	train
nist_1139894	train
nist_1139914	train
nist_1139942	train
nist_1139964	train
nist_1139983	train
nist_1140007	train
nist_1140021	train
nist_1140043	train
nist_1140049	train
nist_1140065	train
nist_1140084	val
nist_1140111	val
nist_1140133	val
nist_1140155	val
nist_1140170	val
nist_1140192	train
nist_1140216	train
nist_1140238	train
nist_1140252	train
nist_1140276	train
nist_1140293	train
nist_1140304	test
nist_1140328	test
nist_1140343	test
nist_1140360	train
nist_1140392	train
nist_1140411	train
nist_1140426	train
nist_1140447	train
nist_1140460	train
nist_1140488	train
nist_1140546	train
nist_1140568	train
nist_1140586	train
nist_1140603	train
nist_1140625	train
nist_1140646	train
nist_1140667	train
nist_1140688	val
nist_1140710	train
nist_1140734	train
nist_1140743	train
nist_1140761	train
nist_1140780	val
nist_1140802	val
nist_1140819	val
nist_1140834	val
nist_1140852	val
nist_1140861	val
nist_1140882	test
nist_1140936	test
nist_1140952	train
nist_1140974	train
nist_1140997	train
nist_1141016	train
nist_1141038	train
nist_1141059	train
nist_1141081	train
nist_1141104	train
nist_1141124	train
nist_1141158	train
nist_1141180	train
nist_1141201	train
nist_1141222	train
nist_1141246	train
nist_1141266	train
nist_1141288	train
nist_1141310	train
nist_1141323	train
nist_1141344	train
nist_1141365	train
nist_1141392	train
nist_1141404	train
nist_1141422	train
nist_1141450	train
nist_1141463	train
nist_1141494	train
nist_1141512	test
nist_1141530	train
nist_1141552	train
nist_1141563	train
nist_1141582	train
nist_1141605	train
nist_1141627	train
nist_1141647	train
nist_1141664	train
nist_1141755	train
nist_1141774	train
nist_1141793	train
nist_1141856	train
nist_1141875	train
nist_1141931	train
nist_1141976	train
nist_1141996	train
nist_1142070	train
nist_1142085	train
nist_1142100	train
nist_1142123	train
nist_1142132	train
nist_1142149	train
nist_1142170	train
nist_1142195	train
nist_1142217	train
nist_1142236	train
nist_1142257	train
nist_1142276	train
nist_1142296	train
nist_1142314	train
nist_1142329	train
nist_1142352	val
nist_1142372	val
nist_1142385	val
nist_1142402	val
nist_1142423	train
nist_1142431	train
nist_1142442	test
nist_1142463	test
nist_1142473	test
nist_1142490	test
nist_1142505	train
nist_1142524	train
nist_1142541	train
nist_1142566	train
nist_1142579	train
nist_1142596	train
nist_1142617	train
nist_1142636	train
nist_1142657	train
nist_1142681	train
nist_1142694	train
nist_1142709	test
nist_1142730	test
nist_1142745	test
nist_1142761	train
nist_1142784	train
nist_1142806	train
nist_1142836	train
nist_1142857	train
nist_1142880	train
nist_1142910	val
nist_1142931	train
nist_1142944	train
nist_1142968	train
nist_1142990	train
nist_1143012	train
nist_1143022	test
nist_1143051	test
nist_1143062	test
nist_1143081	test
nist_1143099	train
nist_1143123	train
nist_1143139	train
nist_1143158	train
nist_1143170	train
nist_1143179	train
nist_1143206	train
nist_1143227	train
nist_1143256	test
nist_1143270	train
nist_1143289	train
nist_1143310	val
nist_1143332	val
nist_1143337	train
nist_1143346	train
nist_1143377	train
nist_1143422	train
nist_1143449	val
nist_1143466	train
nist_1143483	test
nist_1143505	test
nist_1143524	train
nist_1143556	train
nist_1143599	train
nist_1143620	train
nist_1143630	train
nist_1143646	train
nist_1143674	train
nist_1143721	train
nist_1143792	train
nist_1143870	train
nist_1143884	train
nist_1143919	train
nist_1143942	test
nist_1143962	train
nist_1143986	train
nist_1144009	train
nist_1144025	train
nist_1144104	train
nist_1144131	train
nist_1144138	train
nist_1144159	train
nist_1144226	train
nist_1144254	train
nist_1144277	train
nist_1144292	train
nist_1144304	train
nist_1144309	train
nist_1144330	train
nist_1144347	train
nist_1144369	test
nist_1144389	train
nist_1144406	train
nist_1144420	train
nist_1144447	val
nist_1144490	test
nist_1144511	train
nist_1144531	train
nist_1144583	val
nist_1144601	train
nist_1144620	train
nist_1144642	test
nist_1144659	test
nist_1144681	test
nist_1144705	test
nist_1144715	test
nist_1144725	val
nist_1144748	train
nist_1144768	train
nist_1144784	train
nist_1144801	train
nist_1144819	train
nist_1144840	train
nist_1144854	train
nist_1144867	train
nist_1144879	train
nist_1144895	train
nist_1144906	train
nist_1144923	train
nist_1144939	train
nist_1144957	train
nist_1144963	train
nist_1144987	train
nist_1145063	train
nist_1145077	train
nist_1145109	train
nist_1145119	train
nist_1145138	train
nist_1145149	train
nist_1145181	train
nist_1145204	train
nist_1145216	test
nist_1145237	val
nist_1145260	train
nist_1145281	train
nist_1145294	train
nist_1145327	val
nist_1145330	train
nist_1145344	train
nist_1145362	train
nist_1145379	train
nist_1145392	train
nist_1145465	train
nist_1145504	train
nist_1145595	train
nist_1145613	train
nist_1145634	train
nist_1145647	train
nist_1145666	val
nist_1145687	val
nist_1145705	val
nist_1145739	train
nist_1145752	val
nist_1145770	val
nist_1145785	train
nist_1145811	train
nist_1145851	train
nist_1145880	train
nist_1145893	val
nist_1145907	train
nist_1145928	train
nist_1145942	train
nist_1145962	train
nist_1145996	train
nist_1146019	train
nist_1146075	train
nist_1146087	train
nist_1146129	train
nist_1146158	train
nist_1146198	train
nist_1146205	train
nist_1146226	train
nist_1146249	train
nist_1146271	train
nist_1146293	train
nist_1146324	train
nist_1146395	train
nist_1146414	train
nist_1146435	train
nist_1146454	val
nist_1146476	val
nist_1146501	train
nist_1146525	train
nist_1146547	train
nist_1146581	train
nist_1146603	train
nist_1146619	train
nist_1146640	test
nist_1146656	test
nist_1146678	train
nist_1146699	train
nist_1146709	train
nist_1146723	train
nist_1146752	train
nist_1146769	train
nist_1146800	train
nist_1146817	train
nist_1146829	val
nist_1146853	train
nist_1146865	train
nist_1146870	train
nist_1146887	train
nist_1146925	train
nist_1146958	train
nist_1146978	val
nist_1146997	train
nist_1147017	train
nist_1147022	train
nist_1147058	train
nist_1147076	train
nist_1147092	test
nist_1147111	train
nist_1147132	train
nist_1147166	train
nist_1147217	train
nist_1147237	train
nist_1147247	test
nist_1147266	train
nist_1147288	train
nist_1147305	train
nist_1147313	train
nist_1147348	train
nist_1147367	train
nist_1147388	train
nist_1147431	train
nist_1147440	train
nist_1147457	val
nist_1147468	train
nist_1147474	train
nist_1147485	train
nist_1147519	train
nist_1147560	train
nist_1147563	train
nist_1147588	train
nist_1147600	train
nist_1147614	train
nist_1147653	train
nist_1147685	train
nist_1147759	train
nist_1147798	train
nist_1147818	train
nist_1147836	train
nist_1147844	train
nist_1147885	train
nist_1147907	train
nist_1147930	train
nist_1147948	train
nist_1147964	train
nist_1147982	train
nist_1148002	train
nist_1148026	train
nist_1148042	train
nist_1148057	train
nist_1148076	train
nist_1148086	train
nist_1148096	train
nist_1148108	val
nist_1148158	train
nist_1148190	train
nist_1148215	train
nist_1148259	train
nist_1148307	train
nist_1148330	train
nist_1148333	train
nist_1148360	train
nist_1148384	train
nist_1148402	train
nist_1148420	train
nist_1148449	test
nist_1148468	test
nist_1148494	train
nist_1148513	train
nist_1148555	train
nist_1148580	train
nist_1148605	train
nist_1148621	train
nist_1148643	train
nist_1148659	train
nist_1148674	train
nist_1148686	train
nist_1148706	train
nist_1148727	train
nist_1148842	train
nist_1148868	train
nist_1148913	val
nist_1148940	train
nist_1148968	train
nist_1148989	train
nist_1148991	train
nist_1149002	train
nist_1149011	train
nist_1149037	train
nist_1149062	train
nist_1149086	train
nist_1149107	val
nist_1149130	val
nist_1149141	val
nist_1149151	train
nist_1149170	train
nist_1149189	train
nist_1149209	train
nist_1149238	train
nist_1149271	train
nist_1149293	train
nist_1149316	test
nist_1149327	train
nist_1149347	train
nist_1149371	train
nist_1149381	train
nist_1149402	train
nist_1149417	test
nist_1149438	test
nist_1149459	test
nist_1149495	train
nist_1149513	train
nist_1149530	train
nist_1149559	train
nist_1149570	train
nist_1149586	train
nist_1149601	train
nist_1149628	train
nist_1149647	train
nist_1149680	train
nist_1149700	test
nist_1149724	test
nist_1149744	test
nist_1149759	train
nist_1149796	train
nist_1149841	val
nist_1149867	val
nist_1149887	val
nist_1149892	val
nist_1149908	train
nist_1149931	train
nist_1149947	train
nist_1149964	train
nist_1150092	test
nist_1150116	test
nist_1150131	train
nist_1150146	train
nist_1150168	train
nist_1150179	train
nist_1150200	test
nist_1150215	train
nist_1150243	val
nist_1150262	train
nist_1150289	train
nist_1150303	train
nist_1150324	train
nist_1150344	train
nist_1150364	train
nist_1150383	train
nist_1150395	train
nist_1150420	train
nist_1150458	train
nist_1150482	train
nist_1150502	train
nist_1150518	train
nist_1150533	train
nist_1150564	train
nist_1150579	train
nist_1150626	test
nist_1150642	test
nist_1150663	test
nist_1150702	train
nist_1150719	train
nist_1150726	train
nist_1150737	train
nist_1150754	train
nist_1150768	train
nist_1150778	val
nist_1150799	val
nist_1150807	val
nist_1150822	val
nist_1150844	val
nist_1150855	train
nist_1150881	train
nist_1150902	train
nist_1150915	train
nist_1150943	train
nist_1150964	train
nist_1150984	train
nist_1151005	train
nist_1151026	train
nist_1151045	train
nist_1151056	train
nist_1151093	train
nist_1151114	train
nist_1151134	train
nist_1151167	train
nist_1151188	train
nist_1151204	train
nist_1151237	train
nist_1151260	train
nist_1151278	train
nist_1151325	train
nist_1151345	train
nist_1151359	train
nist_1151376	train
nist_1151387	train
nist_1151418	train
nist_1151435	train
nist_1151449	train
nist_1151457	train
nist_1151471	train
nist_1151489	train
nist_1151503	train
nist_1151508	train
nist_1151522	train
nist_1151562	train
nist_1151574	train
nist_1151591	train
nist_1151609	train
nist_1151624	train
nist_1151634	train
nist_1151652	train
nist_1151662	train
nist_1151670	train
nist_1151690	train
nist_1151696	train
nist_1151715	train
nist_1151737	train
nist_1151752	train
nist_1151787	train
nist_1151811	train
nist_1151843	train
nist_1151860	train
nist_1151875	train
nist_1151934	train
nist_1151949	train
nist_1151967	train
nist_1152004	train
nist_1152035	train
nist_1152056	train
nist_1152093	train
nist_1152128	train
nist_1152146	train
nist_1152182	train
nist_1152216	train
nist_1152233	train
nist_1152264	train
nist_1152299	train
nist_1152314	test
nist_1152346	test
nist_1152359	train
nist_1152374	train
nist_1152384	train
nist_1152408	train
nist_1152423	train
nist_1152442	test
nist_1152538	train
nist_1152555	train
nist_1152573	train
nist_1152597	train
nist_1152638	train
nist_1152648	train
nist_1152673	train
nist_1152691	train
nist_1152708	train
nist_1152743	train
nist_1152783	train
nist_1152806	train
nist_1152818	train
nist_1152823	train
nist_1152845	train
nist_1152861	train
nist_1152867	train
nist_1152896	train
nist_1152912	test
nist_1152934	test
nist_1152943	test
nist_1152962	train
nist_1152982	train
nist_1153008	train
nist_1153014	train
nist_1153026	train
nist_1153032	val
nist_1153062	train
nist_1153082	train
nist_1153092	train
nist_1153110	train
nist_1153119	test
nist_1153138	val
nist_1153165	train
nist_1153193	train
nist_1153329	train
nist_1153422	train
nist_1153446	train
nist_1153466	train
nist_1153488	train
nist_1153521	train
nist_1153536	train
nist_1153559	train
nist_1153586	train
nist_1153595	train
nist_1153606	test
nist_1153644	train
nist_1153668	val
nist_1153681	train
nist_1153713	train
nist_1153731	train
nist_1153751	train
nist_1153769	train
nist_1153781	train
nist_1153799	train
nist_1153817	train
nist_1153831	train
nist_1153855	train
nist_1153877	train
nist_1153899	train
nist_1153949	train
nist_1153967	train
nist_1153977	train
nist_1153994	train
nist_1154031	train
nist_1154119	train
nist_1154132	train
nist_1154148	val
nist_1154174	val
nist_1154197	val
nist_1154208	val
nist_1154255	train
nist_1154281	train
nist_1154301	train
nist_1154390	train
nist_1154412	train
nist_1154434	train
nist_1154449	train
nist_1154461	test
nist_1154471	test
nist_1154480	test
nist_1154509	train
nist_1154539	train
nist_1154570	train
nist_1154592	train
nist_1154613	train
nist_1154685	train
nist_1154723	train
nist_1154751	train
nist_1154766	train
nist_1154780	train
nist_1154798	train
nist_1154812	train
nist_1154831	train
nist_1154836	train
nist_1154851	train
nist_1154873	train
nist_1154885	train
nist_1154904	train
nist_1154924	train
nist_1154936	train
nist_1154958	train
nist_1154999	train
nist_1155022	train
nist_1155031	train
nist_1155047	train
nist_1155063	train
nist_1155087	train
nist_1155107	train
nist_1155111	train
nist_1155179	train
nist_1155214	train
nist_1155238	train
nist_1155259	train
nist_1155271	train
nist_1155292	train
nist_1155314	train
nist_1155324	train
nist_1155343	train
nist_1155365	train
nist_1155397	train
nist_1155411	train
nist_1155430	train
nist_1155457	train
nist_1155468	train
nist_1155477	train
nist_1155488	train
nist_1155504	train
nist_1155522	train
nist_1155549	train
nist_1155559	train
nist_1155575	train
nist_1155594	train
nist_1155604	train
nist_1155619	train
nist_1155627	train
nist_1155644	train
nist_1155702	train
nist_1155733	train
nist_1155751	train
nist_1155773	train
nist_1155782	val
nist_1155798	val
nist_1155805	train
nist_1155820	train
nist_1155835	train
nist_1155851	val
nist_1155871	val
nist_1155879	train
nist_1155901	train
nist_1155915	train
nist_1155923	train
nist_1155940	val
nist_1155964	train
nist_1155969	train
nist_1155985	train
nist_1156005	train
nist_1156021	val
nist_1156039	train
nist_1156057	train
nist_1156068	train
nist_1156085	train
nist_1156095	train
nist_1156112	train
nist_1156129	train
nist_1156146	train
nist_1156165	train
nist_1156179	test
nist_1156196	train
nist_1156211	train
nist_1156216	train
nist_1156233	train
nist_1156240	train
nist_1156257	train
nist_1156275	train
nist_1156302	train
nist_1156316	train
nist_1156333	train
nist_1156350	train
nist_1156367	train
nist_1156378	test
nist_1156396	train
nist_1156414	train
nist_1156432	train
nist_1156451	train
nist_1156468	train
nist_1156482	train
nist_1156499	train
nist_1156510	train
nist_1156527	train
nist_1156543	train
nist_1156562	train
nist_1156584	train
nist_1156600	val
nist_1156620	val
nist_1156641	val
nist_1156652	test
nist_1156668	train
nist_1156685	train
nist_1156721	train
nist_1156770	train
nist_1156793	train
nist_1156798	train
nist_1156818	train
nist_1156826	train
nist_1156844	train
nist_1156875	train
nist_1156883	val
nist_1156895	train
nist_1156912	train
nist_1156922	train
nist_1156938	train
nist_1156950	train
nist_1156972	train
nist_1156995	train
nist_1157012	test
nist_1157029	train
nist_1157046	train
nist_1157065	train
nist_1157078	train
nist_1157096	test
nist_1157113	train
nist_1157133	train
nist_1157150	train
nist_1157165	train
nist_1157186	train
nist_1157201	train
nist_1157220	train
nist_1157241	train
nist_1157258	train
nist_1157280	val
nist_1157306	train
nist_1157325	train
nist_1157344	val
nist_1157369	train
nist_1157387	train
nist_1157409	train
nist_1157431	train
nist_1157451	test
nist_1157472	test
nist_1157484	train
nist_1157505	train
nist_1157530	val
nist_1157541	val
nist_1157551	train
nist_1157564	train
nist_1157598	test
nist_1157617	train
nist_1157636	train
nist_1157650	train
nist_1157657	train
nist_1157674	train
nist_1157692	train
nist_1157725	train
nist_1157740	train
nist_1157759	train
nist_1157777	train
nist_1157792	val
nist_1157816	train
nist_1157839	train
nist_1157860	train
nist_1157892	train
nist_1157913	train
nist_1157932	train
nist_1157957	train
nist_1157978	train
nist_1157997	train
nist_1158025	train
nist_1158044	train
nist_1158064	train
nist_1158074	train
nist_1158094	train
nist_1158120	train
nist_1158131	train
nist_1158146	train
nist_1158154	val
nist_1158170	train
nist_1158184	train
nist_1158193	train
nist_1158210	train
nist_1158229	train
nist_1158243	train
nist_1158259	train
nist_1158287	train
nist_1158307	train
nist_1158324	train
nist_1158343	train
nist_1158363	train
nist_1158382	train
nist_1158404	train
nist_1158425	train
nist_1158446	test
nist_1158460	test
nist_1158469	train
nist_1158485	train
nist_1158493	train
nist_1158512	train
nist_1158531	train
nist_1158548	train
nist_1158560	train
nist_1158579	train
nist_1158591	train
nist_1158611	train
nist_1158629	train
nist_1158638	train
nist_1158654	train
nist_1158662	train
nist_1158681	train
nist_1158701	train
nist_1158719	train
nist_1158733	val
nist_1158749	train
nist_1158764	train
nist_1158779	train
nist_1158795	train
nist_1158812	val
nist_1158830	val
nist_1158836	train
nist_1158856	train
nist_1158876	train
nist_1158888	test
nist_1158904	test
nist_1158916	train
nist_1158940	train
nist_1158954	train
nist_1158963	train
nist_1158979	train
nist_1159008	train
nist_1159025	train
nist_1159034	train
nist_1159046	train
nist_1159056	train
nist_1159067	train
nist_1159076	train
nist_1159137	train
nist_1159146	train
nist_1159160	train
nist_1159176	train
nist_1159186	train
nist_1159209	train
nist_1159227	train
nist_1159243	train
nist_1159264	train
nist_1159281	train
nist_1159290	train
nist_1159297	train
nist_1159312	train
nist_1159322	train
nist_1159336	train
nist_1159347	train
nist_1159365	train
nist_1159381	val
nist_1159398	train
nist_1159409	train
nist_1159426	train
nist_1159438	train
nist_1159458	test
nist_1159493	test
nist_1159525	train
nist_1159545	train
nist_1159593	train
nist_1159596	train
nist_1159636	train
nist_1159678	train
nist_1159682	train
nist_1159716	train
nist_1159734	train
nist_1159762	train
nist_1159807	train
nist_1159839	train
nist_1159856	test
nist_1159882	test
nist_1159913	val
nist_1159936	val
nist_1159970	train
nist_1159990	train
nist_1160013	train
nist_1160030	train
nist_1160037	train
nist_1160071	train
nist_1160088	train
